Player,Alghoritm,Heuristic,TotalMoves,TotalTime,Points,Winner,depth
PLAYER_1,ALPHA_BETA,PLAYER_REMAINING,22097,93633,6,PLAYER_1,dynamic
PLAYER_2,ALPHA_BETA,PLAYER_REMAINING,18463,48202,2,PLAYER_1,dynamic

PLAYER_1,ALPHA_BETA,PLAYER_REMAINING,11009,41594,2,PLAYER_2,dynamic
PLAYER_2,ALPHA_BETA,ALMOST_MILL,15659,44678,6,PLAYER_2,dynamic

PLAYER_1,ALPHA_BETA,PLAYER_REMAINING,20037,70175,2,PLAYER_2,dynamic
PLAYER_2,ALPHA_BETA,MILL_NEXT,29970,119014,7,PLAYER_2,dynamic

PLAYER_1,ALPHA_BETA,ALMOST_MILL,17596,52901,2,PLAYER_2,dynamic
PLAYER_2,ALPHA_BETA,PLAYER_REMAINING,34308,142591,9,PLAYER_2,dynamic

PLAYER_1,ALPHA_BETA,ALMOST_MILL,12563,39227,2,PLAYER_2,dynamic
PLAYER_2,ALPHA_BETA,ALMOST_MILL,12142,42754,9,PLAYER_2,dynamic

PLAYER_1,ALPHA_BETA,ALMOST_MILL,13284,36581,7,PLAYER_1,dynamic
PLAYER_2,ALPHA_BETA,MILL_NEXT,11923,32347,2,PLAYER_1,dynamic

PLAYER_1,ALPHA_BETA,MILL_NEXT,12088,37710,8,PLAYER_1,dynamic
PLAYER_2,ALPHA_BETA,PLAYER_REMAINING,8131,20323,2,PLAYER_1,dynamic

PLAYER_1,ALPHA_BETA,MILL_NEXT,10972,22429,9,null,dynamic
PLAYER_2,ALPHA_BETA,ALMOST_MILL,8575,19645,7,null,dynamic

PLAYER_1,MIN_MAX,ALMOST_MILL,3170,4083,7,null,dynamic
PLAYER_2,ALPHA_BETA,PLAYER_REMAINING,2710,3215,9,null,dynamic

PLAYER_1,MIN_MAX,PLAYER_REMAINING,7259,12692,2,PLAYER_2,dynamic
PLAYER_2,ALPHA_BETA,MILL_NEXT,11113,38002,9,PLAYER_2,dynamic

PLAYER_1,ALPHA_BETA,MILL_NEXT,10074,35967,2,PLAYER_2,dynamic
PLAYER_2,ALPHA_BETA,MILL_NEXT,15678,54302,8,PLAYER_2,dynamic

PLAYER_1,MIN_MAX,MILL_NEXT,7703,15469,2,PLAYER_2,dynamic
PLAYER_2,ALPHA_BETA,ALMOST_MILL,9371,24227,9,PLAYER_2,dynamic

PLAYER_1,MIN_MAX,ALMOST_MILL,12506,36134,2,PLAYER_2,dynamic
PLAYER_2,ALPHA_BETA,MILL_NEXT,14702,58790,9,PLAYER_2,dynamic

PLAYER_1,MIN_MAX,MILL_NEXT,7938,18332,2,PLAYER_2,dynamic
PLAYER_2,ALPHA_BETA,PLAYER_REMAINING,11087,31441,9,PLAYER_2,dynamic

PLAYER_1,MIN_MAX,ALMOST_MILL,12506,36134,2,PLAYER_2,dynamic
PLAYER_2,ALPHA_BETA,MILL_NEXT,14702,58790,9,PLAYER_2,dynamic

PLAYER_1,MIN_MAX,ALMOST_MILL,5890,16065,2,PLAYER_2,dynamic
PLAYER_2,ALPHA_BETA,ALMOST_MILL,9277,23898,9,PLAYER_2,dynamic

PLAYER_1,MIN_MAX,MILL_NEXT,6624,13628,2,PLAYER_2,dynamic
PLAYER_2,ALPHA_BETA,ALMOST_MILL,9390,23446,9,PLAYER_2,dynamic

PLAYER_1,ALPHA_BETA,PLAYER_REMAINING,16335,57002,9,PLAYER_1,dynamic
PLAYER_2,MIN_MAX,ALMOST_MILL,8959,32180,2,PLAYER_1,dynamic

PLAYER_1,ALPHA_BETA,PLAYER_REMAINING,16237,54211,8,PLAYER_1,dynamic
PLAYER_2,MIN_MAX,PLAYER_REMAINING,12497,67804,2,PLAYER_1,dynamic

PLAYER_1,ALPHA_BETA,PLAYER_REMAINING,18404,66073,8,PLAYER_1,dynamic
PLAYER_2,MIN_MAX,MILL_NEXT,9833,26283,2,PLAYER_1,dynamic

PLAYER_1,MIN_MAX,MILL_NEXT,17783,74349,2,PLAYER_2,dynamic
PLAYER_2,ALPHA_BETA,MILL_NEXT,24787,138490,9,PLAYER_2,dynamic

